title,year,infobox
What a Whopper,1961,"{'Directed by': ['Gilbert Gunn', '', ''], 'Written by': ['Terry Nation', '', ''], 'Produced by': ['Edward Joseph', '', ''], 'Starring': ['Adam Faith', 'Sid James', 'Carole Lesley', '', ''], 'Cinematography': ['Reginald H. Wyer', '', ''], 'Edited by': ['Bernard Gribble', '', ''], 'Music by': ['Laurie Johnson', '', ''], 'Distributed by': ['Regal Films International', '', ''], 'Release date': ['17\xa0October\xa01961', '\n \n', ''], 'Running time': ['90 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', '']}"
When the Trees Were Tall,1961,"{'Directed by': ['Lev Kulidzhanov', '', ''], 'Written by': ['Nikolai Figurovsky', '', ''], 'Produced by': ['Lev Kulidzhanov', '', ''], 'Starring': ['Yuri Nikulin', 'Inna Gulaya', 'Vasily Shukshin', 'Leonid Kuravlyov', '', ''], 'Cinematography': ['Valeri Ginzburg', '', ''], 'Edited by': ['Natalya Loginova', '', ''], 'Music by': ['Leonid Afanasyev', '', ''], 'Release date': ['1961', '\n \n', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['Soviet Union', '', ''], 'Language': ['Russian', '', '']}"
Whistle Down the Wind,1961,"{'Directed by': ['Bryan Forbes', '', ''], 'Screenplay by': ['Keith Waterhouse', 'Willis Hall', '', ''], 'Based on': ['by ', 'Mary Hayley Bell', '', ''], 'Produced by': ['Richard Attenborough', '', ''], 'Starring': ['Hayley Mills', 'Bernard Lee', 'Alan Bates', '', ''], 'Cinematography': ['Arthur Ibbetson', '', ''], 'Edited by': ['Max Benedict', '', ''], 'Music by': ['Malcolm Arnold', '', ''], 'Production companies': ['Beaver Pictures', 'Allied Film Makers'], 'Distributed by': ['J. Arthur Rank Film Distributors', '', ''], 'Release date': ['20\xa0July\xa01961', ' (London)', '\n \n', ''], 'Running time': ['99 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Budget': ['£148,000', '', '']}"
Wife Number 13,1961,"{'Directed by': ['Fatin Abdel Wahab', '', ''], 'Written by': ['Abo El Seoud El Ebiary', '', ''], 'Starring': ['Rushdy Abaza', '', ''], 'Cinematography': ['Kamal Korayem', '', ''], 'Release date': ['24\xa0June\xa01962', '\n \n', ''], 'Running time': ['97 minutes', '', ''], 'Country': ['Egypt', '', ''], 'Language': ['Arabic', '', '']}"
Wild in the Country,1961,"{'Directed by': ['Philip Dunne', '', ''], 'Screenplay by': ['Clifford Odets', '', ''], 'Based on': ['by ', 'J. R. Salamanca', '', ''], 'Produced by': ['Jerry Wald', '', ''], 'Starring': ['Elvis Presley', 'Hope Lange', 'Tuesday Weld', 'Millie Perkins', '\n \n', ''], 'Cinematography': ['William C. Mellor', '', ''], 'Edited by': ['Dorothy Spencer', '', ''], 'Music by': ['Kenyon Hopkins', '', ''], 'Production company': ['', '20th Century Fox'], 'Distributed by': ['20th Century Fox', '', ''], 'Release dates': ['June\xa08,\xa01961', ' (', ')', 'June\xa015,\xa01961', ' (United States)', 'Memphis, Tennessee', '\n \n', ''], 'Running time': ['114 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$2,975,000', '', '']}"
A Woman Is a Woman,1961,"{'': ['', ''], 'Directed by': ['Jean-Luc Godard', '', ''], 'Written by': ['Jean-Luc Godard', '', ''], 'Produced by': ['Carlo Ponti', 'Georges de Beauregard', '\n \n', ''], 'Starring': ['Jean-Paul Belmondo', 'Anna Karina', 'Jean-Claude Brialy', '\n \n', ''], 'Cinematography': ['Raoul Coutard', '', ''], 'Edited by': ['Agnès Guillemot', 'Lila Herman', '\n \n', ''], 'Music by': ['Michel Legrand', '', ''], 'Production companies': ['', '', 'Euro International Films', 'Rome Paris Films'], 'Distributed by': ['Unidex', '', ''], 'Release dates': ['1\xa0July\xa01961', ' (', ')', '6\xa0September\xa01961', ' (France)', 'Berlin', '\n \n', ''], 'Running time': ['85 minutes', '', ''], 'Country': ['France', '', ''], 'Language': ['French', '', ''], 'Budget': ['$160,000 (', ')', '', ''], 'Box office': ['549,931 admissions (France)', '$100,665 (US)', '', '']}"
Yojimbo,1961,"{'': ['Yōjinbō', '', ''], 'Directed by': ['Akira Kurosawa', '', ''], 'Screenplay by': ['Akira Kurosawa', 'Ryūzō Kikushima', 'Hideo Oguni', '\n \n', ''], 'Story by': ['Akira Kurosawa', '', ''], 'Produced by': ['Ryūzō Kikushima', 'Akira Kurosawa', 'Tomoyuki Tanaka', '\n \n', ''], 'Starring': ['Toshiro Mifune', 'Tatsuya Nakadai', 'Yoko Tsukasa', 'Isuzu Yamada', 'Daisuke Katō', 'Takashi Shimura', 'Kamatari Fujiwara', 'Atsushi Watanabe', '\n \n', ''], 'Cinematography': ['Kazuo Miyagawa', '', ''], 'Edited by': ['Akira Kurosawa', '', ''], 'Music by': ['Masaru Sato', '', ''], 'Production companies': ['', '', 'Kurosawa Production', 'Toho'], 'Distributed by': ['Toho', '', ''], 'Release date': ['25\xa0April\xa01961', ' (Japan)', '\n \n', ''], 'Running time': ['110 minutes', '', ''], 'Country': ['Japan', '', ''], 'Language': ['Japanese', '', ''], 'Budget': ['', ''], 'Box office': ['$2.5 million (', ')', '', '']}"
The Young Doctors,1961,"{'Directed by': ['Phil Karlson', '', ''], 'Written by': ['Joseph Hayes', '', ''], 'Based on': ['novel ""The Final Diagnosis"" by ', 'Arthur Hailey', '', ''], 'Produced by': ['Stuart Millar', 'Lawrence Turman', '', ''], 'Starring': ['Fredric March', 'Ben Gazzara', 'Dick Clark', 'Ina Balin', 'Eddie Albert', '', ''], 'Cinematography': ['Arthur J. Ornitz', '', ''], 'Edited by': ['Robert Swink', '', ''], 'Music by': ['Elmer Bernstein', '', ''], 'Distributed by': ['United Artists', '', ''], 'Release date': ['August 23, 1961', '', ''], 'Running time': ['100 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['just over $1 million', '', '']}"
The Young Ones,1961,"{'Directed by': ['Sidney J. Furie', '', ''], 'Written by': ['Peter Myers', 'Ronald Cass', '', ''], 'Produced by': ['Andrew Mitchell', 'Kenneth Harper', '', ''], 'Starring': ['Cliff Richard', 'Robert Morley', 'Carole Gray', 'The Shadows', '', ''], 'Cinematography': ['Douglas Slocombe', '', ''], 'Edited by': ['Jack Slade', '', ''], 'Music by': ['Stanley Black', 'Ronald Cass', '', ''], 'Production company': ['', 'Associated British Picture Corporation'], 'Distributed by': [' ', ' ', 'Warner-Pathé', 'Paramount Pictures', '', ''], 'Release dates': ['13\xa0December\xa01961', ' (London, World Premiere)', '12\xa0January\xa01962', ' (UK)', 'March\xa013,\xa01963', ' (Bismarck, North Dakota)', '\n \n \n \n', ''], 'Running time': ['108 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Budget': ['£230,000', '', ''], 'Box office': ['£750,000 (UK)', '', '']}"
The Young Savages,1961,"{'Directed by': ['John Frankenheimer', '', ''], 'Screenplay by': ['Edward Anhalt', 'J.P. Miller', '', ''], 'Based on': ['by ', 'Evan Hunter', '', ''], 'Produced by': ['Pat Duggan', ' (executive producer)', 'Harold Hecht', '', ''], 'Starring': ['Burt Lancaster', 'Dina Merrill', 'Shelley Winters', 'Telly Savalas', '', ''], 'Cinematography': ['Lionel Lindon', '', ''], 'Edited by': ['Eda Warren', '', ''], 'Music by': ['David Amram', '', ''], 'Distributed by': ['United Artists', '', ''], 'Release date': ['May\xa024,\xa01961', '\n \n', ''], 'Running time': ['103 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
The Alvin Show,1961,"{'Genre': ['Comedy', 'Musical', 'Sitcom', '', ''], 'Created by': ['Ross Bagdasarian Sr.', '', ''], 'Based on': ['by ', 'Alvin and the Chipmunks', 'Ross Bagdasarian Sr.'], 'Written by': ['Ross Bagdasarian Sr. ', ' Jack Cosgriff ', ' ', ' ', ' ', '  ', ' Bill Danch ', '  Chris Jenkyns ', ' Jan Strejan ', ' Dale Hale', 'Al Bertino', 'Tedd Pierce', '', ''], 'Directed by': ['Osmond Evans ', ' ', ' ', ' ', ' ', ' ', ' ', '   Hal Ambro ', ' ', 'Rudy Larriva', 'Alan Zaslove', 'Gil Turner', 'Jack Kinney', '', ''], 'Voices of': ['Ross Bagdasarian Sr.', 'Shepard Menken', 'June Foray', 'Lee Patrick', 'Bill Lee', 'Johnny Mann', '\n \n', ''], 'Theme music composer': ['Ross Bagdasarian Sr.', '\n \n', ''], 'Composers': [' ', ' ', 'Ross Bagdasarian Sr.', 'Johnny Mann', '', ''], 'Country of origin': ['United States', '', ''], ' of seasons': ['2', '', ''], ' of episodes': ['26 (104 segments)', '', ''], 'Executive producer': ['Herbert Klynn', '', ''], 'Producer': ['Ross Bagdasarian Sr.', '', ''], 'Running time': ['25:40 per episode (7 minutes for The Chipmunks and Clyde Crashcup each, 3-4 minutes for both musical segments each)', '', ''], 'Production companies': ['Bagdasarian Film Corporation', 'Format Films', '\n \n', ''], 'Distributor': ['Viacom (1952-2006)', '', ''], 'Original network': ['CBS', '', ''], 'Picture format': [' (originally telecast in ', ')', 'Color', 'Black-and-white', '', ''], 'Original release': ['October 4, 1961', '\xa0–', 'September 12, 1962', '', ''], 'Followed by': [' ', ' ', '\n \n', '']}"
The 300 Spartans,1962,"{'Directed by': ['Rudolph Maté', '', ''], 'Screenplay by': ['George St. George', '', ''], 'Story by': ['Remigio Del Grosso', ""Giovanni d'Eramo"", 'Ugo Liberatore', 'Gian Paolo Callegari', '', ''], 'Produced by': ['Rudolph Maté', 'George St. George', '', ''], 'Starring': ['Richard Egan', 'Ralph Richardson', 'Diane Baker', 'Barry Coe', 'David Farrar', 'Donald Houston', 'Anna Synodinou', '', ''], 'Cinematography': ['Geoffrey Unsworth', '', ''], 'Edited by': ['Jerry Webb', '', ''], 'Music by': ['Manos Hadjidakis', '', ''], 'Color process': ['DeLuxe Color', '', ''], 'Production company': ['', '20th Century Fox'], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['August\xa029,\xa01962', ' (US)', '\n \n', ''], 'Running time': ['114 min', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['£500,000 (approximately $1,350,000.)', '', ''], 'Box office': ['$76,520,000', '', '']}"
40 Pounds of Trouble,1962,"{'Directed by': ['Norman Jewison', '', ''], 'Written by': ['Marion Hargrove', '', ''], 'Based on': ['by ', 'Damon Runyon', '', ''], 'Produced by': ['Stan Margulies', '', ''], 'Starring': ['Tony Curtis', 'Suzanne Pleshette', 'Larry Storch', '', ''], 'Cinematography': ['Joseph MacDonald', '', ''], 'Edited by': ['Marjorie Fowler', '', ''], 'Music by': ['Mort Lindsey', '', ''], 'Production company': ['', 'Curtis Enterprises'], 'Distributed by': ['Universal-International Pictures', '', ''], 'Release date': ['31 December 1962 (US)', '', ''], 'Running time': ['106 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Box office': ['$2,750,000 (US/ Canada)', '', '']}"
Abhijan,1962,"{'Directed by': ['Satyajit Ray', '', ''], 'Screenplay by': ['Satyajit Ray', '', ''], 'Based on': ['by ', 'Tarashankar Bandopadhyay', '', ''], 'Produced by': ['Abhijatrik', '', ''], 'Starring': ['Gnyanesh Mukherjee', ' Charuprakash Ghosh', 'Soumitra Chatterjee', 'Waheeda Rehman', 'Ruma Guha Thakurta', 'Rabi Ghosh', 'Arun Roy', '', ''], 'Cinematography': ['Soumendu Roy', '', ''], 'Release date': ['28\xa0September\xa01962', '\n \n', ''], 'Running time': ['150 minutes', '', ''], 'Country': ['India', '', ''], 'Language': ['Bengali', '', '']}"
Advise & Consent,1962,"{'Directed by': ['Otto Preminger', '', ''], 'Screenplay by': ['Wendell Mayes', '', ''], 'Based on': ['by ', 'Allen Drury', '', ''], 'Produced by': ['Otto Preminger', '', ''], 'Starring': ['Henry Fonda', 'Charles Laughton', 'Don Murray', 'Walter Pidgeon', 'Peter Lawford', 'Gene Tierney', 'Paul Ford', 'George Grizzard', '\n \n', ''], 'Cinematography': ['Sam Leavitt', '', ''], 'Edited by': ['Louis R. Loeffler', '', ''], 'Music by': ['Jerry Fielding', '', ''], 'Production companies': ['Otto Preminger Films Alpha Alpina', ''], 'Distributed by': ['Columbia Pictures', '', ''], 'Release date': ['July\xa07,\xa01962', ' (United States)', '\n \n', ''], 'Running time': ['138 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
Alaverdoba,1962,"{'Directed by': ['Giorgi Shengelaia', '', ''], 'Written by': ['Giorgi Shengelaia', 'Revaz Inanishvili', 'Guram Rcheulishvili', '', ''], 'Produced by': ['Shota Khojava', '', ''], 'Starring': ['Avto Varazi', '', ''], 'Cinematography': ['Aleksandre Rekhviashvili', '', ''], 'Music by': ['Peliks Glonti', '', ''], 'Release date': ['1962', '\n \n', ''], 'Running time': ['42 minutes', '', ''], 'Country': ['Georgia', '', ''], 'Language': ['Georgian', '', '']}"
All Fall Down,1962,"{'Directed by': ['John Frankenheimer', '', ''], 'Screenplay by': ['William Inge', '', ''], 'Based on': ['1960 novel', 'by ', 'James Leo Herlihy', '', ''], 'Produced by': ['John Houseman', '', ''], 'Starring': ['Madame Spivy', 'Eva Marie Saint', 'Warren Beatty', 'Karl Malden', 'Angela Lansbury', 'Brandon deWilde', 'Constance Ford', 'Barbara Baxley', 'Evans Evans', 'Albert Paulsen', '', ''], 'Cinematography': ['Lionel Lindon', '', ''], 'Edited by': ['Fredric Steinkamp', '', ''], 'Music by': ['Alex North', '', ''], 'Production company': ['John Houseman Productions', ''], 'Distributed by': ['Metro-Goldwyn-Mayer', '', ''], 'Release date': ['April\xa011,\xa01962', '\n \n', ''], 'Running time': ['110 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', '']}"
All Night Long,1962,"{'Directed by': ['Basil Dearden', '', ''], 'Written by': ['Nel King', 'Paul Jarrico', '', ''], 'Produced by': ['Bob Roberts', 'Basil Dearden', 'Michael Relph', '', ''], 'Starring': ['Patrick McGoohan', 'Marti Stevens', 'Paul Harris', 'Keith Michell', 'Richard Attenborough', 'Betsy Blair', '', ''], 'Cinematography': ['Edward Scaife', '', ''], 'Edited by': ['John D. Guthridge', '', ''], 'Music by': ['Philip Green', '', ''], 'Production company': ['', 'Rank Organisation'], 'Distributed by': [' ', 'Colorama Features ', 'J. Arthur Rank', '', ''], 'Release dates': ['6 February 1962 ', '17 April 1963', '', ''], 'Running time': ['91 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', '']}"
All Souls' Day,1962,"{'Directed by': ['Tadeusz Konwicki', '', ''], 'Written by': ['Tadeusz Konwicki', '', ''], 'Starring': ['Edmund Fetting', 'Ewa Krzyzewska', '', ''], 'Cinematography': ['Kurt Weber', '', ''], 'Release date': ['1962', '', ''], 'Running time': ['93 min', '', ''], 'Language': ['Polish', '', '']}"
La Belle Américaine,1962,"{'Directed by': ['Robert Dhéry', '', ''], 'Written by': ['Alfred Adam', 'Robert Dhéry', '', ''], 'Produced by': [""CCFC, Le Film d'Art, Corflor, Panorama Films"", '', ''], 'Starring': ['Alfred Adam', 'Louis de Funès', '', ''], 'Music by': ['Gérard Calvi', '', ''], 'Distributed by': ['CCFC', '', ''], 'Release date': ['29 September 1962 (France)', '', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['Italy/France', '', ''], 'Language': ['French', '', '']}"
Amphibian Man,1962,"{'Directed by': ['Vladimir Chebotaryov', 'Gennadi Kazansky', '', ''], 'Written by': [' (novel)', 'Alexander Beliaev', 'Akiba Golburt', 'Aleksei Kapler', 'Aleksandr Ksenofontov', '', ''], 'Starring': ['Vladimir Korenev', 'Anastasiya Vertinskaya', 'Mikhail Kozakov', '', ''], 'Cinematography': ['Eduard Rozovsky', '', ''], 'Music by': ['Andrei Petrov', '', ''], 'Production company': ['', 'Lenfilm'], 'Distributed by': [' (TV syndication)', 'BijouFlix Releasing', 'National Telefilm Associates', '', ''], 'Release date': ['January 3, 1962', '', ''], 'Running time': ['82 min.', '', ''], 'Country': ['Soviet Union', '', ''], 'Language': ['Russian', '', ''], 'Box office': ['100', 'million admissions', '', '']}"
Appointment at the Tower,1962,"{'': ['', ''], 'Directed by': ['Ezz El-Dine Zulficar', '', ''], 'Written by': ['Mohammed Abu Youssef', 'Ezz El-Dine Zulficar', '', ''], 'Produced by': ['Salah Zulfikar', '', ''], 'Starring': ['\n', '\n', '', ''], 'Cinematography': ['Masood Issa', '', ''], 'Edited by': ['Hussein Ahmed', 'Abdel Aziz Fakhry', '', ''], 'Production company': ['', 'Salah Zulfikar Films'], 'Distributed by': ['Arab Company for Cinema', '', ''], 'Release date': ['12\xa0December\xa01962', '\n \n', ''], 'Running time': ['110 minutes', '', ''], 'Country': ['Egypt', '', ''], 'Language': ['Egyptian Arabic', '', '']}"
Asli-Naqli,1962,"{'Directed by': ['Hrishikesh Mukherjee', '', ''], 'Written by': ['Inder Raj Anand', '', ''], 'Produced by': ['L B Lachmana', 'L B Thakur', '', ''], 'Starring': [' ', ' ', 'Dev Anand', 'Sadhana', 'Nazir Hussain', '', ''], 'Cinematography': ['Jaywant Pathare', '', ''], 'Edited by': ['Das Dhaimade', '', ''], 'Music by': ['Shankar Jaikishan', '', ''], 'Release date': ['November 27th 1962', '', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', '']}"
Atraco a las tres,1962,"{'Directed by': ['José María Forqué', '', ''], 'Written by': ['Rafael J. Salvia', 'Pedro Masó', 'Vicente Coello', '', ''], 'Produced by': ['José Alted', '', ''], 'Starring': ['José Luis López Vázquez', 'Cassen', 'Gracita Morales', 'Katia Loritz', 'Manuel Alexandre', 'Agustín González', 'José Orjas', 'Alfredo Landa', 'Paula Martel', 'Rafaela Aparicio', 'José María Caffarel', 'Jesús Guzmán', 'Pedro Mari Sánchez', 'Lola Gaos', '', ''], 'Cinematography': ['Alejandro Ulloa', '', ''], 'Edited by': ['Pedro del Rey', '', ''], 'Music by': ['Adolfo Waitzman', '', ''], 'Release date': ['20\xa0December\xa01962', ' (Spain)', '\n \n', ''], 'Running time': ['92 minutes', '', ''], 'Country': ['Spain', '', ''], 'Language': ['Spanish', '', '']}"
Attack of the Normans,1962,"{'Directed by': ['Giuseppe Vari', '', ''], 'Screenplay by': ['Nino Stresa', '', ''], 'Starring': ['Cameron Mitchell', 'Geneviève Grad', 'Ettore Manni', 'Philippe Hersent', '\n \n', ''], 'Cinematography': ['Marco Scarpelli', 'Vittorio Storaro', '\n \n', ''], 'Production companies': ['', '', 'Galatea Film', 'Lyre Film'], 'Release date': ['19\xa0October\xa01962', ' (Europe)', '\n \n', ''], 'Running time': ['89 minutes', '', ''], 'Countries': ['Italy', 'France', '\n \n', '']}"
An Autumn Afternoon,1962,"{'Directed by': ['Yasujirō Ozu', '', ''], 'Written by': ['Yasujirō Ozu', 'Kogo Noda', '', ''], 'Produced by': ['Shizuo Yamanouchi', '', ''], 'Starring': ['Teruo Yoshida', 'Noriko Maki', ' Shinichiro Mikami', ' Eijiro Tono', 'Shima Iwashita', 'Chishū Ryū', 'Keiji Sada', 'Mariko Okada', '', ''], 'Cinematography': ['Yûharu Atsuta', '', ''], 'Edited by': ['Yoshiyasu Hamamura', '', ''], 'Music by': ['Kojun Saito', '', ''], 'Production company': ['', 'Shochiku'], 'Distributed by': ['Shochiku', '', ''], 'Release date': ['18\xa0November\xa01962', '\n \n', ''], 'Running time': ['113 minutes', '', ''], 'Country': ['Japan', '', ''], 'Language': ['Japanese', '', ''], 'Budget': ['125,090 tickets (France)', '', '']}"
The Awful Dr. Orloff,1962,"{'': ['', ''], 'Directed by': ['Jesús Franco', '', ''], 'Written by': ['Jesús Franco', '', ''], 'Produced by': ['Leo Lax', 'Marius Lesœur', 'Sergio Newman', '\n \n', ''], 'Starring': ['Ricardo Valle', 'Howard Vernon', 'Conrado San Martín', 'Diana Lorys', 'María Silva', 'Perla Cristal', '\n \n', ''], 'Cinematography': ['Godofredo Pacheco', '', ''], 'Edited by': ['Alfonso Santacana', '', ''], 'Music by': ['Jose Pagan', 'Antonio Ramírez Ángel', '', ''], 'Production companies': ['', '', 'Hispamer Film', 'Plaza Films Intl.', 'Eurociné', 'Leo Lax Production'], 'Distributed by': ['Delta Films (Spain)', '', ''], 'Release date': ['\n', '\n', '', ''], 'Running time': ['93 minutes', '', ''], 'Countries': ['Spain', 'France', '\n \n', ''], 'Language': ['Spanish', '', '']}"
Baat Ek Raat Ki,1962,"{'Directed by': ['Shankar Mukherjee', '', ''], 'Starring': ['Dev Anand', 'Waheeda Rehman', 'Johnny Walker', 'Asit Sen', '', ''], 'Music by': ['Sachin Dev Burman', '', ''], 'Release date': ['1962', '', ''], 'Language': ['Hindi', '', ''], 'Box office': ['72,00,000 ', '', ''], 'Released': ['1962 (India)', '', ''], '': ['Sachin Dev Burman', '', '']}"
Bachelor Flat,1962,"{'Directed by': ['Frank Tashlin', '', ''], 'Screenplay by': ['Frank Tashlin', 'Budd Grossman', '', ''], 'Based on': ['play', 'by ', 'Budd Grossman', '', ''], 'Produced by': ['Jack Cummings', '', ''], 'Starring': ['Tuesday Weld', 'Richard Beymer', 'Terry-Thomas', 'Celeste Holm', '', ''], 'Cinematography': ['Daniel L. Fapp', '', ''], 'Edited by': ['Hugh S. Fowler', '', ''], 'Music by': ['John Williams', '', ''], 'Distributed by': ['Twentieth Century-Fox', '', ''], 'Release date': ['January 12, 1962', '', ''], 'Running time': ['91 min.', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$1,495,000', '', '']}"
Bees Saal Baad,1962,"{'Directed by': ['Biren Nag', '', ''], 'Produced by': ['Hemant Kumar', '', ''], 'Starring': ['Biswajeet', 'Waheeda Rehman', 'Madan Puri', 'Asit Sen', '', ''], 'Cinematography': ['Marshall Braganza', '', ''], 'Edited by': ['Keshav Nanda', '', ''], 'Music by': ['Hemant Kumar', '', ''], 'Distributed by': ['Geetanjali Pictures', '', ''], 'Release date': ['1\xa0January\xa01962', '\n \n', ''], 'Country': ['India', '', ''], 'Language': ['Hindi', '', '']}"
The Bellboy and the Playgirls,1962,"{'Directed by': ['Francis Ford Coppola', 'Fritz Umgelter', '', ''], 'Written by': ['Dieter Hildebrandt', 'Margh Malina', '', ''], 'Produced by': ['Wolfgang Hartwig', 'Harry Ross', '', ''], 'Starring': ['June Wilkinson', '', ''], 'Cinematography': ['Paul Grupp', '', ''], 'Edited by': ['Jack Hill', '', ''], 'Music by': ['Claus Ogerman', '', ''], 'Release date': ['February 12, 1962', '', ''], 'Running time': ['94 min. (US)', '85 min. (West Germany)', '', ''], 'Country': ['U.S. / ', 'West Germany', '', ''], 'Language': [' & ', 'English', 'German', '', '']}"
Big and Little Wong Tin Bar,1962,"{'': ['', ''], 'Directed by': ['Lung To', '', ''], 'Written by': ['Lee Yuen-man', '', ''], 'Produced by': ['Leung King-hin', '', ''], 'Starring': ['Jackie Chan', 'Sammo Hung', 'Li Li-Hua', '', ''], 'Edited by': ['Fan Ka-ken', '', ''], 'Production companies': ['Great Win Film Co', 'Panasia Films'], 'Distributed by': ['Gala Distribution', 'Fortune Star', '', ''], 'Release date': ['5\xa0December\xa01962', '\n \n', ''], 'Running time': ['106 minutes', '', ''], 'Country': ['British Hong Kong', '', ''], 'Language': ['Cantonese', '', '']}"
Billy Budd,1962,"{'Directed by': ['Peter Ustinov', '', ''], 'Screenplay by': ['Peter Ustinov', 'Robert Rossen', 'DeWitt Bodeen', '', ''], 'Based on': ['by ', 'Herman Melville', 'by ', '', 'Robert H. Chapman', 'Louis O. Coxe'], 'Produced by': ['Peter Ustinov', '', ''], 'Starring': ['Peter Ustinov', 'Terence Stamp', 'Robert Ryan', 'Melvyn Douglas', '', ''], 'Cinematography': ['Robert Krasker', '', ''], 'Edited by': ['Jack Harris', '', ''], 'Music by': ['Antony Hopkins', '', ''], 'Production companies': ['', '', 'Anglo Allied', 'Harvest Films', 'Nikhanj Films'], 'Distributed by': ['Rank Film Distributors', '', ''], 'Release date': ['21\xa0September\xa01962', ' (London)', '\n \n', ''], 'Running time': ['123 minutes', '', ''], 'Country': ['United Kingdom', '', ''], 'Language': ['English', '', ''], 'Box office': ['$25 million', '', '']}"
Billy Rose's Jumbo,1962,"{'Directed by': ['Charles Walters', '', ''], 'Screenplay by': ['Sidney Sheldon', '', ''], 'Based on': ['1935 play', 'by ', 'Ben Hecht', 'Charles MacArthur', '', ''], 'Produced by': [' ', ' ', 'Martin Melcher', 'Joe Pasternak', '', ''], 'Starring': [' ', ' ', ' ', ' ', ' ', ' ', 'Doris Day', 'Stephen Boyd', 'Jimmy Durante', 'Martha Raye', '', ''], 'Cinematography': ['William H. Daniels', '', ''], 'Edited by': ['Richard W. Farrell', '', ''], 'Music by': [' & ', 'Richard Rodgers', 'Lorenz Hart', 'George Stoll', '', ''], 'Distributed by': ['Metro-Goldwyn-Mayer', '', ''], 'Release date': ['December\xa06,\xa01962', '', ''], 'Running time': ['127 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$5,256,000', '', ''], 'Box office': ['$ 4 million', '', '']}"
Birdman of Alcatraz,1962,"{'Directed by': ['John Frankenheimer', '', ''], 'Screenplay by': ['Guy Trosper', '', ''], 'Based on': ['1955 book', 'by ', 'Thomas E. Gaddis', '', ''], 'Produced by': ['Stuart Millar', 'Guy Trosper', 'Harold Hecht', '', ''], 'Starring': ['Burt Lancaster', 'Karl Malden', 'Thelma Ritter', 'Neville Brand', ""Edmond O'Brien"", 'Telly Savalas', '', ''], 'Cinematography': ['Burnett Guffey', '', ''], 'Edited by': ['Edward Mann', '', ''], 'Music by': ['Elmer Bernstein', '', ''], 'Distributed by': ['United Artists', '', ''], 'Release date': ['July\xa03,\xa01962', '\n \n', ''], 'Running time': ['143 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$2.6 million', '', '']}"
Boccaccio '70,1962,"{'Directed by': ['Vittorio De Sica', 'Federico Fellini', 'Mario Monicelli', 'Luchino Visconti', '', ''], 'Written by': ['Mario Monicelli', 'Federico Fellini', 'Luchino Visconti', ""Suso Cecchi d'Amico"", 'Italo Calvino', 'Giovanni Arpino', 'Tullio Pinelli', 'Ennio Flaiano', 'Cesare Zavattini', '', ''], 'Produced by': ['Carlo Ponti', 'Antonio Cervi', '', ''], 'Starring': ['Germano Giglioli', 'Sophia Loren', 'Anita Ekberg', 'Peppino De Filippo', 'Marisa Solinas', 'Romy Schneider', 'Thomas Milian', 'Romolo Valli', '', ''], 'Music by': ['Nino Rota', 'Armando Trovajoli', 'Piero Umiliani', '', ''], 'Production companies': ['', '', 'Concordia Compagnia Cinematografica', '-Gray Film', 'Francinex'], 'Distributed by': ['Cineriz (Italy)', ' (France)', 'Cinédis', '', ''], 'Release dates': ['23\xa0February\xa01962', ' (Italy)', '29\xa0August\xa01962', ' (France)', '\n \n', ''], 'Running time': ['150 minutes (release with 3 segments)', '208 minutes (Italian version with all four segments)', '', ''], 'Countries': ['Italy', 'France', '', ''], 'Languages': ['German', 'Italian', '', '']}"
